Time (CST),Uptower Heated Wind Speed (m/s),Uptower Heated Wind Direction (deg),Air Density (kg/m^3),Time (CST),Hub Wind Speed (m/s),Uptower Wind Speed 1 (m/s),Uptower Wind Speed 2 (m/s),Uptower Wind Speed 3 (m/s),Uptower Wind Direction (deg),
,\\BPWind\US.RT1.CAL.xxxxxx.MET.001.Uptower.Heated.Wind.Speed.Avg.10M.AVG,\\BPWind\US.RT1.CAL.xxxxxx.MET.001.Uptower.Heated.Wind.Direction.Vec.Avg,\\BPWind\US.RT1.CAL.xxxxxx.MET.001.HUB.Air.Density,,\\BPWind\US.RT1.CAL.xxxxxx.MET.001.HUB.Wind.Speed.10M.AVG,\\BPWind\US.RT1.CAL.xxxxxx.MET.001.Uptower.Wind.Speed.1.10M.AVG,\\BPWind\US.RT1.CAL.xxxxxx.MET.001.Uptower.Wind.Speed.2.10M.AVG,\\BPWind\US.RT1.DAT.xxxxxx.MET.001.Uptower.Wind.Speed,\\BPWind\US.RT1.CAL.xxxxxx.MET.001.Uptower.Wind.Direction.Vec.Avg,x
01-Jan-22 00:00:00,6.44,333.83,1.32,01-Jan-22 00:00:00,6.88,6.74,6.83,6.78,330.49,
01-Jan-22 00:10:00,6.90,335.54,1.32,01-Jan-22 00:10:00,6.87,6.74,6.83,5.72,331.68,
01-Jan-22 00:20:00,6.89,333.72,1.32,01-Jan-22 00:20:00,5.78,6.74,6.83,5.63,330.36,
01-Jan-22 00:30:00,5.89,337.57,1.32,01-Jan-22 00:30:00,5.73,6.74,6.83,5.03,334.51,
01-Jan-22 00:40:00,5.75,330.66,1.32,01-Jan-22 00:40:00,5.08,6.74,6.83,5.77,326.78,
01-Jan-22 00:50:00,5.16,331.91,1.32,01-Jan-22 00:50:00,5.80,6.74,6.83,6.38,328.12,
01-Jan-22 01:00:00,5.88,333.15,1.32,01-Jan-22 01:00:00,6.46,6.74,6.83,6.77,329.45,
01-Jan-22 01:10:00,6.43,334.40,1.32,01-Jan-22 01:10:00,6.86,6.74,6.83,6.24,330.79,
01-Jan-22 01:20:00,6.92,335.65,1.32,01-Jan-22 01:20:00,6.33,6.74,6.83,6.29,332.12,
01-Jan-22 01:30:00,6.34,334.86,1.32,01-Jan-22 01:30:00,6.36,6.74,6.83,7.14,331.10,
01-Jan-22 01:40:00,6.36,334.07,1.32,01-Jan-22 01:40:00,7.22,6.74,6.83,7.07,330.09,
01-Jan-22 01:50:00,7.34,335.95,1.32,01-Jan-22 01:50:00,7.19,6.74,6.83,6.07,332.38,
01-Jan-22 02:00:00,7.22,341.29,1.32,01-Jan-22 02:00:00,6.12,6.74,6.83,6.57,338.24,
01-Jan-22 02:10:00,6.35,342.26,1.32,01-Jan-22 02:10:00,6.72,6.74,6.83,6.27,339.10,
01-Jan-22 02:20:00,6.66,340.47,1.33,01-Jan-22 02:20:00,6.36,6.74,6.83,6.63,336.97,
01-Jan-22 02:30:00,6.40,341.26,1.33,01-Jan-22 02:30:00,6.72,6.74,6.83,5.84,338.05,
01-Jan-22 02:40:00,6.82,344.44,1.33,01-Jan-22 02:40:00,5.98,6.74,6.83,6.25,341.69,
01-Jan-22 02:50:00,6.05,344.57,1.33,01-Jan-22 02:50:00,6.39,6.74,6.83,6.78,341.80,
01-Jan-22 03:00:00,6.39,344.70,1.33,01-Jan-22 03:00:00,6.96,6.74,6.83,6.60,341.92,
01-Jan-22 03:10:00,6.91,342.90,1.33,01-Jan-22 03:10:00,6.77,6.74,6.83,6.69,340.24,
01-Jan-22 03:20:00,6.77,343.20,1.33,01-Jan-22 03:20:00,6.86,6.74,6.83,7.45,341.33,
01-Jan-22 03:30:00,6.95,343.49,1.33,01-Jan-22 03:30:00,7.62,6.74,6.83,7.37,340.22,
01-Jan-22 03:40:00,7.67,340.51,1.33,01-Jan-22 03:40:00,7.49,6.74,6.83,6.41,336.98,
01-Jan-22 03:50:00,7.60,340.46,1.33,01-Jan-22 03:50:00,6.49,6.74,6.83,7.20,337.12,
01-Jan-22 04:00:00,6.70,341.55,1.33,01-Jan-22 04:00:00,7.35,6.74,6.83,7.29,339.27,
01-Jan-22 04:10:00,7.27,342.64,1.33,01-Jan-22 04:10:00,7.46,6.74,6.83,6.38,339.14,
01-Jan-22 04:20:00,7.56,341.72,1.33,01-Jan-22 04:20:00,6.54,6.74,6.83,6.42,339.01,
01-Jan-22 04:30:00,6.56,338.33,1.33,01-Jan-22 04:30:00,6.52,6.74,6.83,6.23,335.11,
01-Jan-22 04:40:00,6.48,334.94,1.33,01-Jan-22 04:40:00,6.34,6.74,6.83,6.18,331.22,
01-Jan-22 04:50:00,6.30,335.81,1.33,01-Jan-22 04:50:00,6.29,6.74,6.83,5.67,332.64,
01-Jan-22 05:00:00,6.31,334.02,1.33,01-Jan-22 05:00:00,5.75,6.74,6.83,5.54,331.03,
01-Jan-22 05:10:00,5.79,326.89,1.33,01-Jan-22 05:10:00,5.59,6.74,6.83,5.81,323.07,
01-Jan-22 05:20:00,5.55,329.11,1.33,01-Jan-22 05:20:00,5.87,6.74,6.83,6.15,325.08,
01-Jan-22 05:30:00,5.85,326.25,1.33,01-Jan-22 05:30:00,6.20,6.74,6.83,5.82,321.76,
01-Jan-22 05:40:00,6.14,332.26,1.33,01-Jan-22 05:40:00,5.89,6.74,6.83,6.22,329.59,
01-Jan-22 05:50:00,5.96,332.60,1.33,01-Jan-22 05:50:00,6.31,6.74,6.83,6.62,328.96,
01-Jan-22 06:00:00,6.30,328.49,1.33,01-Jan-22 06:00:00,6.68,6.74,6.83,6.91,323.59,
01-Jan-22 06:10:00,6.72,332.43,1.33,01-Jan-22 06:10:00,7.01,6.74,6.83,6.30,328.64,
01-Jan-22 06:20:00,6.99,331.96,1.33,01-Jan-22 06:20:00,6.39,6.74,6.83,6.82,327.02,
01-Jan-22 06:30:00,6.40,328.73,1.34,01-Jan-22 06:30:00,6.89,6.74,6.83,8.15,325.41,
01-Jan-22 06:40:00,6.97,325.51,1.34,01-Jan-22 06:40:00,8.19,6.74,6.83,8.55,321.88,
01-Jan-22 06:50:00,8.24,329.51,1.34,01-Jan-22 06:50:00,8.63,6.74,6.83,9.25,325.34,
01-Jan-22 07:00:00,8.71,330.29,1.34,01-Jan-22 07:00:00,9.32,6.74,6.83,8.76,326.36,
01-Jan-22 07:10:00,9.27,331.07,1.34,01-Jan-22 07:10:00,8.80,6.74,6.83,7.98,327.38,
01-Jan-22 07:20:00,8.89,328.99,1.34,01-Jan-22 07:20:00,8.00,6.74,6.83,7.64,322.98,
01-Jan-22 07:30:00,8.17,326.92,1.34,01-Jan-22 07:30:00,7.72,6.74,6.83,7.09,322.77,
01-Jan-22 07:40:00,7.71,326.39,1.34,01-Jan-22 07:40:00,7.15,6.74,6.83,6.80,322.55,
01-Jan-22 07:50:00,7.21,325.87,1.34,01-Jan-22 07:50:00,6.87,6.74,6.83,6.10,322.34,
01-Jan-22 08:00:00,6.77,329.51,1.33,01-Jan-22 08:00:00,6.14,6.74,6.83,5.86,326.18,
01-Jan-22 08:10:00,6.09,327.54,1.33,01-Jan-22 08:10:00,5.89,6.74,6.83,6.54,323.63,
01-Jan-22 08:20:00,5.88,322.26,1.33,01-Jan-22 08:20:00,6.57,6.74,6.83,5.40,316.81,
01-Jan-22 08:30:00,6.44,323.16,1.33,01-Jan-22 08:30:00,5.39,6.74,6.83,5.79,318.55,
01-Jan-22 08:40:00,5.41,324.07,1.33,01-Jan-22 08:40:00,5.85,6.74,6.83,5.18,320.29,
01-Jan-22 08:50:00,5.71,316.95,1.33,01-Jan-22 08:50:00,5.19,6.74,6.83,4.99,313.11,
01-Jan-22 09:00:00,5.15,319.98,1.33,01-Jan-22 09:00:00,5.03,6.74,6.83,5.03,316.39,
01-Jan-22 09:10:00,4.97,316.29,1.33,01-Jan-22 09:10:00,4.99,6.74,6.83,5.45,311.51,
01-Jan-22 09:20:00,4.86,319.57,1.33,01-Jan-22 09:20:00,5.49,6.74,6.83,5.21,315.57,
01-Jan-22 09:30:00,5.53,316.41,1.33,01-Jan-22 09:30:00,5.24,6.74,6.83,5.53,312.24,
01-Jan-22 09:40:00,5.17,319.26,1.33,01-Jan-22 09:40:00,5.47,6.74,6.83,5.90,314.77,
01-Jan-22 09:50:00,5.52,318.21,1.33,01-Jan-22 09:50:00,5.93,6.74,6.83,6.01,314.31,
01-Jan-22 10:00:00,5.95,313.89,1.32,01-Jan-22 10:00:00,5.99,6.74,6.83,6.10,309.70,
01-Jan-22 10:10:00,5.96,309.56,1.32,01-Jan-22 10:10:00,6.09,6.74,6.83,5.81,305.10,
01-Jan-22 10:20:00,6.09,313.78,1.32,01-Jan-22 10:20:00,5.83,6.74,6.83,5.56,309.42,
01-Jan-22 10:30:00,5.86,313.27,1.32,01-Jan-22 10:30:00,5.59,6.74,6.83,5.76,307.93,
01-Jan-22 10:40:00,5.56,310.63,1.32,01-Jan-22 10:40:00,5.68,6.74,6.83,6.03,306.44,
01-Jan-22 10:50:00,5.66,310.21,1.32,01-Jan-22 10:50:00,6.03,6.74,6.83,6.47,304.95,
01-Jan-22 11:00:00,6.10,313.33,1.32,01-Jan-22 11:00:00,6.48,6.74,6.83,6.48,308.28,
01-Jan-22 11:10:00,6.42,312.69,1.32,01-Jan-22 11:10:00,6.50,6.74,6.83,6.88,309.11,
01-Jan-22 11:20:00,6.47,315.33,1.32,01-Jan-22 11:20:00,6.87,6.74,6.83,6.33,309.93,
01-Jan-22 11:30:00,6.85,307.77,1.32,01-Jan-22 11:30:00,6.27,6.74,6.83,6.43,302.41,
01-Jan-22 11:40:00,6.36,307.96,1.32,01-Jan-22 11:40:00,6.35,6.74,6.83,6.29,302.80,
01-Jan-22 11:50:00,6.40,310.56,1.31,01-Jan-22 11:50:00,6.26,6.74,6.83,5.79,306.51,
01-Jan-22 12:00:00,6.25,313.16,1.31,01-Jan-22 12:00:00,5.84,6.74,6.83,4.80,308.06,
01-Jan-22 12:10:00,5.83,315.77,1.31,01-Jan-22 12:10:00,4.75,6.74,6.83,5.06,313.00,
01-Jan-22 12:20:00,4.90,313.24,1.31,01-Jan-22 12:20:00,5.00,6.74,6.83,4.89,309.11,
01-Jan-22 12:30:00,5.13,312.92,1.31,01-Jan-22 12:30:00,4.81,6.74,6.83,4.92,308.03,
01-Jan-22 12:40:00,4.86,316.01,1.31,01-Jan-22 12:40:00,4.87,6.74,6.83,4.85,312.17,
01-Jan-22 12:50:00,4.95,312.78,1.31,01-Jan-22 12:50:00,4.85,6.74,6.83,4.39,310.07,
01-Jan-22 13:00:00,4.91,312.50,1.31,01-Jan-22 13:00:00,4.21,6.74,6.83,4.86,307.97,
01-Jan-22 13:10:00,4.60,319.15,1.30,01-Jan-22 13:10:00,4.77,6.74,6.83,5.02,315.35,
01-Jan-22 13:20:00,4.89,319.98,1.30,01-Jan-22 13:20:00,5.00,6.74,6.83,5.37,318.66,
01-Jan-22 13:30:00,5.12,320.80,1.30,01-Jan-22 13:30:00,5.36,6.74,6.83,6.49,316.17,
01-Jan-22 13:40:00,5.52,312.87,1.30,01-Jan-22 13:40:00,6.49,6.74,6.83,6.45,309.46,
01-Jan-22 13:50:00,6.43,322.67,1.30,01-Jan-22 13:50:00,6.46,6.74,6.83,4.73,318.72,
01-Jan-22 14:00:00,6.59,312.02,1.30,01-Jan-22 14:00:00,4.64,6.74,6.83,4.86,306.58,
01-Jan-22 14:10:00,4.83,309.92,1.30,01-Jan-22 14:10:00,4.82,6.74,6.83,5.29,305.47,
01-Jan-22 14:20:00,4.96,317.12,1.30,01-Jan-22 14:20:00,5.31,6.74,6.83,5.45,314.65,
01-Jan-22 14:30:00,5.39,316.76,1.29,01-Jan-22 14:30:00,5.40,6.74,6.83,5.82,313.34,
01-Jan-22 14:40:00,5.54,316.41,1.29,01-Jan-22 14:40:00,5.81,6.74,6.83,5.68,312.03,
01-Jan-22 14:50:00,5.82,312.68,1.29,01-Jan-22 14:50:00,5.67,6.74,6.83,5.86,308.56,
01-Jan-22 15:00:00,5.76,317.02,1.29,01-Jan-22 15:00:00,5.84,6.74,6.83,5.53,311.60,
01-Jan-22 15:10:00,5.89,319.27,1.29,01-Jan-22 15:10:00,5.47,6.74,6.83,5.39,314.64,
01-Jan-22 15:20:00,5.68,319.50,1.29,01-Jan-22 15:20:00,5.33,6.74,6.83,5.29,315.85,
01-Jan-22 15:30:00,5.39,311.74,1.29,01-Jan-22 15:30:00,5.32,6.74,6.83,4.65,307.14,
01-Jan-22 15:40:00,5.43,306.16,1.29,01-Jan-22 15:40:00,4.66,6.74,6.83,5.25,300.93,
01-Jan-22 15:50:00,4.65,308.05,1.29,01-Jan-22 15:50:00,5.27,6.74,6.83,4.94,303.78,
01-Jan-22 16:00:00,5.28,311.63,1.29,01-Jan-22 16:00:00,4.92,6.74,6.83,4.95,308.83,
01-Jan-22 16:10:00,5.01,315.22,1.29,01-Jan-22 16:10:00,4.96,6.74,6.83,5.69,311.76,
01-Jan-22 16:20:00,5.05,305.62,1.29,01-Jan-22 16:20:00,5.69,6.74,6.83,5.51,301.55,
01-Jan-22 16:30:00,5.64,306.67,1.30,01-Jan-22 16:30:00,5.51,6.74,6.83,5.01,300.89,
01-Jan-22 16:40:00,5.58,307.73,1.30,01-Jan-22 16:40:00,5.01,6.74,6.83,5.19,303.24,
01-Jan-22 16:50:00,5.08,308.78,1.30,01-Jan-22 16:50:00,5.20,6.74,6.83,5.91,305.59,
01-Jan-22 17:00:00,5.26,306.64,1.31,01-Jan-22 17:00:00,5.91,6.74,6.83,6.13,302.65,
01-Jan-22 17:10:00,5.86,306.04,1.31,01-Jan-22 17:10:00,6.16,6.74,6.83,6.37,301.92,
01-Jan-22 17:20:00,6.12,305.43,1.31,01-Jan-22 17:20:00,6.37,6.74,6.83,6.95,299.59,
01-Jan-22 17:30:00,6.33,303.40,1.31,01-Jan-22 17:30:00,6.96,6.74,6.83,6.37,297.25,
01-Jan-22 17:40:00,6.84,301.37,1.31,01-Jan-22 17:40:00,6.38,6.74,6.83,5.81,294.92,
01-Jan-22 17:50:00,6.45,305.16,1.31,01-Jan-22 17:50:00,5.82,6.74,6.83,5.66,300.07,
01-Jan-22 18:00:00,5.74,311.41,1.31,01-Jan-22 18:00:00,5.66,6.74,6.83,5.20,307.41,
01-Jan-22 18:10:00,5.65,312.72,1.32,01-Jan-22 18:10:00,5.21,6.74,6.83,5.14,309.62,
01-Jan-22 18:20:00,5.26,314.04,1.31,01-Jan-22 18:20:00,5.15,6.74,6.83,5.05,311.83,
01-Jan-22 18:30:00,5.16,316.56,1.31,01-Jan-22 18:30:00,5.06,6.74,6.83,4.97,No Result,
01-Jan-22 18:40:00,5.15,319.08,1.32,01-Jan-22 18:40:00,4.99,6.74,6.83,5.19,318.60,
01-Jan-22 18:50:00,5.05,321.61,1.32,01-Jan-22 18:50:00,5.24,6.74,6.83,4.77,315.85,
01-Jan-22 19:00:00,5.16,319.21,1.32,01-Jan-22 19:00:00,4.80,6.74,6.83,4.40,316.94,
01-Jan-22 19:10:00,4.85,321.37,1.32,01-Jan-22 19:10:00,4.45,6.74,6.83,4.57,312.47,
01-Jan-22 19:20:00,4.39,312.18,1.32,01-Jan-22 19:20:00,4.60,6.74,6.83,4.32,No Result,
01-Jan-22 19:30:00,4.57,311.55,1.32,01-Jan-22 19:30:00,4.35,6.74,6.83,3.85,304.11,
01-Jan-22 19:40:00,4.32,310.93,1.32,01-Jan-22 19:40:00,3.92,6.74,6.83,4.70,297.33,
01-Jan-22 19:50:00,3.91,300.33,1.32,01-Jan-22 19:50:00,4.79,6.74,6.83,4.07,292.98,
01-Jan-22 20:00:00,4.57,299.53,1.32,01-Jan-22 20:00:00,4.18,6.74,6.83,3.85,293.46,
01-Jan-22 20:10:00,3.96,294.21,1.32,01-Jan-22 20:10:00,4.00,6.74,6.83,4.13,285.41,
01-Jan-22 20:20:00,3.82,291.17,1.32,01-Jan-22 20:20:00,4.32,6.74,6.83,4.37,280.72,
01-Jan-22 20:30:00,4.08,288.14,1.31,01-Jan-22 20:30:00,4.51,6.74,6.83,4.81,279.88,
01-Jan-22 20:40:00,4.34,288.52,1.32,01-Jan-22 20:40:00,4.87,6.74,6.83,4.82,286.00,
01-Jan-22 20:50:00,4.83,288.90,1.32,01-Jan-22 20:50:00,4.91,6.74,6.83,4.46,287.37,
01-Jan-22 21:00:00,4.81,289.28,1.33,01-Jan-22 21:00:00,4.52,6.74,6.83,4.51,285.32,
01-Jan-22 21:10:00,4.54,289.66,1.32,01-Jan-22 21:10:00,4.65,6.74,6.83,3.89,No Result,
01-Jan-22 21:20:00,4.50,290.04,1.32,01-Jan-22 21:20:00,4.10,6.74,6.83,3.82,279.25,
01-Jan-22 21:30:00,4.05,281.73,1.32,01-Jan-22 21:30:00,4.08,6.74,6.83,3.72,268.86,
01-Jan-22 21:40:00,3.92,261.83,1.32,01-Jan-22 21:40:00,3.93,6.74,6.83,4.15,255.14,
01-Jan-22 21:50:00,3.90,246.86,1.32,01-Jan-22 21:50:00,4.35,6.74,6.83,4.67,238.40,
01-Jan-22 22:00:00,4.29,241.86,1.32,01-Jan-22 22:00:00,4.87,6.74,6.83,5.73,239.05,
01-Jan-22 22:10:00,4.81,244.11,1.33,01-Jan-22 22:10:00,5.97,6.74,6.83,5.11,239.69,
01-Jan-22 22:20:00,5.71,239.31,1.32,01-Jan-22 22:20:00,5.35,6.74,6.83,4.79,234.11,
01-Jan-22 22:30:00,5.29,231.91,1.32,01-Jan-22 22:30:00,5.06,6.74,6.83,5.03,228.53,
01-Jan-22 22:40:00,5.29,230.41,1.32,01-Jan-22 22:40:00,5.37,6.74,6.83,5.29,226.50,
01-Jan-22 22:50:00,5.39,225.94,1.32,01-Jan-22 22:50:00,5.52,6.74,6.83,5.18,221.79,
01-Jan-22 23:00:00,5.72,224.98,1.32,01-Jan-22 23:00:00,5.35,6.74,6.83,5.82,220.95,
01-Jan-22 23:10:00,5.56,224.03,1.32,01-Jan-22 23:10:00,5.98,6.74,6.83,5.78,220.10,
01-Jan-22 23:20:00,6.34,223.07,1.32,01-Jan-22 23:20:00,5.89,6.74,6.83,6.97,219.26,
01-Jan-22 23:30:00,6.10,225.02,1.32,01-Jan-22 23:30:00,7.15,6.74,6.83,6.87,221.10,
01-Jan-22 23:40:00,7.23,226.97,1.32,01-Jan-22 23:40:00,7.16,6.74,6.83,6.47,222.95,
01-Jan-22 23:50:00,7.37,228.92,1.32,01-Jan-22 23:50:00,6.91,6.74,6.83,6.51,224.80,
02-Jan-22 00:00:00,6.97,226.77,1.32,02-Jan-22 00:00:00,6.86,6.74,6.83,7.53,223.12,
02-Jan-22 00:10:00,6.97,220.86,1.32,02-Jan-22 00:10:00,7.61,6.74,6.83,7.66,217.08,
02-Jan-22 00:20:00,7.88,214.96,1.32,02-Jan-22 00:20:00,7.90,6.74,6.83,7.54,213.31,
02-Jan-22 00:30:00,7.99,215.85,1.31,02-Jan-22 00:30:00,7.73,6.74,6.83,7.05,213.62,
02-Jan-22 00:40:00,7.79,220.24,1.32,02-Jan-22 00:40:00,7.16,6.74,6.83,6.10,217.55,
02-Jan-22 00:50:00,7.35,224.63,1.31,02-Jan-22 00:50:00,6.25,6.74,6.83,5.84,221.48,
02-Jan-22 01:00:00,6.62,226.63,1.31,02-Jan-22 01:00:00,6.05,6.74,6.83,5.58,223.00,
02-Jan-22 01:10:00,6.37,228.63,1.31,02-Jan-22 01:10:00,5.96,6.74,6.83,6.20,224.53,
02-Jan-22 01:20:00,6.06,228.25,1.31,02-Jan-22 01:20:00,6.57,6.74,6.83,6.09,224.66,
02-Jan-22 01:30:00,6.68,229.61,1.31,02-Jan-22 01:30:00,6.47,6.74,6.83,5.92,224.79,
02-Jan-22 01:40:00,6.59,230.96,1.32,02-Jan-22 01:40:00,6.23,6.74,6.83,5.75,226.59,
